Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
277,Martin Havlát\havlama01,25,CHI,RW,56,25,32,57,15,28,7.1,20,5,0,1,20,11,1,176,14.2,1198,21:24
278,Darren Haydar\haydada01,27,ATL,RW,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,32,8:01
279,Dany Heatley\heatlda01,26,OTT,RW,82,50,55,105,31,74,13.4,30,17,3,10,32,22,1,310,16.1,1725,21:02
280,Jochen Hecht\hechtjo01,29,BUF,C,76,19,37,56,19,39,5.1,16,3,0,1,30,6,1,197,9.6,1432,18:51
281,Bret Hedican\hedicbr01,36,CAR,D,50,0,10,10,-8,36,1.4,0,0,0,0,6,4,0,44,0.0,998,19:58
282,Jan Hejda\hejdaja01,28,EDM,D,39,1,8,9,-6,20,1.9,1,0,0,1,8,0,0,33,3.0,795,20:23
283,Milan Hejduk\hejdumi01,30,COL,RW,80,35,35,70,10,44,8.4,22,12,1,6,23,12,0,257,13.6,1430,17:53
284,Timo Helbling\helblti01,25,WSH,D,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,24,12:00
285,Ales Hemsky\hemskal01,23,EDM,RW,64,13,40,53,-7,40,4.9,8,5,0,1,20,20,0,122,10.7,1087,16:59
286,Josh Hennessy\hennejo01,21,OTT,C,10,1,0,1,0,4,0.1,1,0,0,0,0,0,0,6,16.7,57,5:39
287,Jamie Heward\hewarja01,35,TOT,D,71,6,18,24,2,47,4.2,3,3,0,1,10,7,1,75,8.0,1226,17:16
288,Chris Higgins\higgich01,23,MTL,C,61,22,16,38,-11,26,4.0,11,8,3,3,9,7,0,159,13.8,1092,17:54
289,Andy Hilbert\hilbean01,25,NYI,C,81,8,20,28,10,34,2.2,8,0,0,1,19,0,1,164,4.9,931,11:30
290,Sean Hill\hillse01,36,NYI,D,81,1,24,25,6,110,4.3,1,0,0,0,12,12,0,88,1.1,1826,22:33
291,Dan Hinote\hinotda01,30,STL,RW,41,5,5,10,-8,23,0.2,5,0,0,1,3,0,2,37,13.5,536,13:04
292,Shane Hnidy\hnidysh01,31,ATL,D,72,5,7,12,15,63,3.8,4,0,1,1,7,0,0,86,5.8,1126,15:38
293,Jeff Hoggan\hoggaje01,28,BOS,RW,46,0,2,2,-8,33,-0.7,0,0,0,0,2,0,0,53,0.0,325,7:04
