,Player,Unique ID
519,Brett Pesce\pescebr01,520
520,Nic Petan\petanni01,521
521,Alexander Petrovic\petroal01,522
522,Jeff Petry\petryje01,523
523,Dion Phaneuf\phanedi01,524
524,Blake Pietila\pietibl01,525
525,Alex Pietrangelo\pietral01,526
526,Brandon Pirri\pirribr01,527
527,Tyler Pitlick\pitlity01,528
528,Tomas Plekanec\plekato01,529
529,Brayden Point\pointbr01,530
530,Roman Polák\polakro01,531
531,Jason Pominville\pominja01,532
532,Paul Postma\postmpa01,533
533,Benoit Pouliot\poulibe01,534
534,Derrick Pouliot\poulide01,535
535,Shane Prince\princsh01,536
536,Nate Prosser\prossna01,537
537,Dalton Prout\proutda01,538
538,Ivan Provorov\provoiv01,539
539,Matt Puempel\puempma01,540
540,Jesse Puljujarvi\puljuje01,541
541,Teemu Pulkkinen\pulkkte01,542
542,Teddy Purcell\purcete01,543
543,Tom Pyatt\pyattto01,544
544,Mark Pysyk\pysykma01,545
545,John Quenneville\quennjo02,546
546,Kyle Quincey\quincky01,547
547,Alan Quine\quineal01,548
548,Alexander Radulov\radulal01,549
549,Michael Raffl\rafflmi01,550
550,Rickard Rakell\rakelri01,551
551,Mikko Rantanen\rantami01,552
552,Victor Rask\raskvi01,553
553,Dennis Rasmussen\rasmude01,554
554,Kyle Rau\rauky01,555
555,Matt Read\readma01,556
556,Ryan Reaves\reavery01,557
557,Zach Redmond\redmoza01,558
558,Mike Reilly\reillmi01,559
559,Sam Reinhart\reinhsa01,560
560,Mike Ribeiro\ribeimi01,561
561,Brad Richardson\richabr02,562
562,Tobias Rieder\riedeto01,563
563,Morgan Rielly\riellmo01,564
564,Rasmus Ristolainen\ristora01,565
565,Brett Ritchie\ritchbr01,566
566,Nick Ritchie\ritchni01,567
567,Evan Rodrigues\rodriev01,568
568,Antoine Roussel\roussan01,569
569,Carter Rowney\rowneca01,570
570,Michal Rozsíval\rozsimi01,571
571,Chad Ruhwedel\ruhwech01,572
572,Kris Russell\russekr01,573
573,Robbie Russo\russoro01,574
574,Bryan Rust\rustbr01,575
575,Bobby Ryan\ryanbo01,576
576,Derek Ryan\ryande01,577
577,Brandon Saad\saadbr01,578
578,Zach Sanford\sanfoza01,579
579,Steven Santini\santist01,580
580,David Savard\savarda01,581
581,Luca Sbisa\sbisalu01,582
582,Marco Scandella\scandma01,583
583,Colton Sceviour\scevico01,584
584,Tim Schaller\schalti01,585
585,Mark Scheifele\scheima01,586
586,Brayden Schenn\schenbr01,587
587,Luke Schenn\schenlu01,588
588,David Schlemko\schleda01,589
589,Nick Schmaltz\schmani01,590
590,Nate Schmidt\schmina01,591
591,Jordan Schroeder\schrojo01,592
592,Justin Schultz\schulju01,593
593,Nick Schultz\schulni01,594
594,Jaden Schwartz\schwaja01,595
595,Brent Seabrook\seabrbr01,596
596,Daniel Sedin\sedinda01,597
597,Henrik Sedin\sedinhe01,598
598,Lukas Sedlak\sedlalu01,599
599,Tyler Seguin\seguity01,600
600,Dennis Seidenberg\seidede01,601
601,Andrej Sekera\sekeran01,602
602,Tom Sestito\sestito01,603
603,Devin Setoguchi\setogde01,604
604,Damon Severson\severda01,605
605,Michael Sgarbossa\sgarbmi01,606
606,Patrick Sharp\sharppa01,607
607,Kevin Shattenkirk\shattke01,608
608,Andrew Shaw\shawan01,609
609,Logan Shaw\shawlo01,610
610,Riley Sheahan\sheahri01,611
611,Conor Sheary\shearco01,612
612,Devin Shore\shorede01,613
613,Drew Shore\shoredr01,614
614,Nick Shore\shoreni01,615
615,Jakob Silfverberg\silfvja01,616
616,Wayne Simmonds\simmowa01,617
617,Colton Sissons\sissoco01,618
618,Jack Skille\skillja01,619
619,Jeff Skinner\skinnje01,620
620,Brady Skjei\skjeibr01,621
621,Jaccob Slavin\slavija01,622
622,Anton Slepyshev\slepyan01,623
623,Ben Smith\smithbe01,624
624,Brendan Smith\smithbr05,625
625,Craig Smith\smithcr01,626
626,Gemel Smith\smithge02,627
627,Reilly Smith\smithre01,628
628,Zack Smith\smithza01,629
629,Devante Smith-Pelly\smithde06,630
630,Carl Soderberg\soderca01,631
631,Marcus Sorensen\sorenma01,632
632,Nikita Soshnikov\soshnni01,633
633,Jason Spezza\spezzja01,634
634,Ryan Spooner\spoonry01,635
635,Ryan Sproul\sproury01,636
636,Jared Spurgeon\spurgja01,637
637,Eric Staal\staaler01,638
638,Jordan Staal\staaljo01,639
639,Marc Staal\staalma01,640
640,Drew Stafford\staffdr01,641
641,Matt Stajan\stajama01,642
642,Viktor Stalberg\stalbvi01,643
643,Steven Stamkos\stamkst01,644
644,Paul Stastny\stastpa01,645
645,Troy Stecher\stechtr01,646
646,Alex Steen\steenal01,647
647,Lee Stempniak\stemple01,648
648,Derek Stepan\stepade01,649
649,Chris Stewart\stewach02,650
650,Karl Stollery\stollka01,651
651,Mark Stone\stonema01,652
652,Michael Stone\stonemi01,653
653,Clayton Stoner\stonecl01,654
654,Anton Stralman\stralan01,655
655,Mark Streit\streima01,656
656,Ryan Strome\stromry01,657
657,Mark Stuart\stuarma01,658
658,P.K. Subban\subbapk01,659
659,Oskar Sundqvist\sundqos01,660
660,Andrej Sustr\sustran01,661
661,Ryan Suter\suterry01,662
662,Brandon Sutter\suttebr03,663
663,Brandon Tanev\tanevbr01,664
664,Chris Tanev\tanevch01,665
665,Vladimir Tarasenko\tarasvl01,666
666,Tomas Tatar\tatarto01,667
667,John Tavares\tavarjo01,668
668,Matt Tennyson\tennyma01,669
669,Teuvo Teravainen\teravte01,670
670,Chris Terry\terrych01,671
671,Shea Theodore\theodsh01,672
672,Nate Thompson\thompna01,673
673,Paul Thompson\thomppa02,674
674,Chris Thorburn\thorbch01,675
675,Joe Thornton\thornjo01,676
676,Shawn Thornton\thornsh01,677
677,Chris Tierney\tiernch01,678
678,Matthew Tkachuk\tkachma01,679
679,Jonathan Toews\toewsjo01,680
680,Tyler Toffoli\toffoty01,681
681,Jordin Tootoo\tootojo01,682
682,Vincent Trocheck\trochvi01,683
683,Jacob Trouba\troubja01,684
684,Nikita Tryamkin\tryamni01,685
685,Kyle Turris\turriky01,686
686,Fedor Tyutin\tyutife01,687
687,Scottie Upshall\upshasc01,688
688,James van Riemsdyk\vanrija01,689
689,Trevor van Riemsdyk\vanritr01,690
690,Chris VandeVelde\vandech01,691
691,Thomas Vanek\vanekth01,692
692,Sami Vatanen\vatansa01,693
693,Frank Vatrano\vatrafr01,694
694,Antoine Vermette\vermean01,695
695,Joel Vermin\vermijo01,696
696,Kris Versteeg\verstkr01,697
697,Jimmy Vesey\veseyji02,698
698,Jake Virtanen\virtaja01,699
699,Marc-Edouard Vlasic\vlasima01,700
700,Jakub Voracek\voracja01,701
701,Jakub Vrana\vranaja01,702
702,Radim Vrbata\vrbatra01,703
703,Chris Wagner\wagnech01,704
704,Joel Ward\wardjo02,705
705,Austin Watson\watsoau01,706
706,Jordan Weal\wealjo01,707
707,Shea Weber\webersh01,708
708,Yannick Weber\weberya01,709
709,Dale Weise\weiseda01,710
710,Alexander Wennberg\wennbal01,711
711,Zach Werenski\werenza01,712
712,Blake Wheeler\wheelbl01,713
713,Ryan White\whitery01,714
714,Chris Wideman\widemch01,715
715,Dennis Wideman\widemde01,716
716,Patrick Wiercioch\wiercpa01,717
717,Justin Williams\williju01,718
718,Colin Wilson\wilsoco01,719
719,Scott Wilson\wilsosc01,720
720,Tom Wilson\wilsoto01,721
721,Tommy Wingels\wingeto01,722
